Geo_FIPS,Geo_NAME,Geo_QName,pop_18_in_poverty
18091,LaPorte County,"LaPorte County, Indiana",6302
18093,Lawrence County,"Lawrence County, Indiana",1630
18095,Madison County,"Madison County, Indiana",6634
18097,Marion County,"Marion County, Indiana",60821
18099,Marshall County,"Marshall County, Indiana",1848
18101,Martin County,"Martin County, Indiana",344
18103,Miami County,"Miami County, Indiana",1964
18105,Monroe County,"Monroe County, Indiana",4239
18107,Montgomery County,"Montgomery County, Indiana",1404
18109,Morgan County,"Morgan County, Indiana",2462
18111,Newton County,"Newton County, Indiana",665
18113,Noble County,"Noble County, Indiana",1004
18115,Ohio County,"Ohio County, Indiana",104
18117,Orange County,"Orange County, Indiana",876
18119,Owen County,"Owen County, Indiana",1210
18121,Parke County,"Parke County, Indiana",692
18123,Perry County,"Perry County, Indiana",740
18125,Pike County,"Pike County, Indiana",500
18127,Porter County,"Porter County, Indiana",4687
18129,Posey County,"Posey County, Indiana",540
18131,Pulaski County,"Pulaski County, Indiana",413
18133,Putnam County,"Putnam County, Indiana",1233
18135,Randolph County,"Randolph County, Indiana",1184
18137,Ripley County,"Ripley County, Indiana",1204
18139,Rush County,"Rush County, Indiana",736
18141,St. Joseph County,"St. Joseph County, Indiana",13910
18143,Scott County,"Scott County, Indiana",1055
18145,Shelby County,"Shelby County, Indiana",1665
18147,Spencer County,"Spencer County, Indiana",618
18149,Starke County,"Starke County, Indiana",963
18151,Steuben County,"Steuben County, Indiana",1064
18153,Sullivan County,"Sullivan County, Indiana",538
18155,Switzerland County,"Switzerland County, Indiana",754
18157,Tippecanoe County,"Tippecanoe County, Indiana",6035
18159,Tipton County,"Tipton County, Indiana",405
18161,Union County,"Union County, Indiana",72
18163,Vanderburgh County,"Vanderburgh County, Indiana",9442
18165,Vermillion County,"Vermillion County, Indiana",767
18167,Vigo County,"Vigo County, Indiana",4693
18169,Wabash County,"Wabash County, Indiana",1016
18171,Warren County,"Warren County, Indiana",357
18173,Warrick County,"Warrick County, Indiana",1059
18175,Washington County,"Washington County, Indiana",973
18177,Wayne County,"Wayne County, Indiana",3717
18179,Wells County,"Wells County, Indiana",718
18181,White County,"White County, Indiana",635
18183,Whitley County,"Whitley County, Indiana",1292
19001,Adair County,"Adair County, Iowa",203
19003,Adams County,"Adams County, Iowa",126
19005,Allamakee County,"Allamakee County, Iowa",438
19007,Appanoose County,"Appanoose County, Iowa",706
19009,Audubon County,"Audubon County, Iowa",237
19011,Benton County,"Benton County, Iowa",523
19013,Black Hawk County,"Black Hawk County, Iowa",5309
19015,Boone County,"Boone County, Iowa",408
19017,Bremer County,"Bremer County, Iowa",385
19019,Buchanan County,"Buchanan County, Iowa",607
19021,Buena Vista County,"Buena Vista County, Iowa",1099
19023,Butler County,"Butler County, Iowa",470
19025,Calhoun County,"Calhoun County, Iowa",335
19027,Carroll County,"Carroll County, Iowa",416
19029,Cass County,"Cass County, Iowa",463
